Partipant ID,TrialNum,Vis,TruePercent,ReportedPercent,Error,LogError,errPlus3
Alina,1,Bar Chart,83.69783945,70,13.69783945,3.788982096,6.788982096
test,35,Bar Chart,64.89820115,72,7.10179885,2.853356739,5.853356739
hh,0,Bar Chart,34.78555474,20,14.78555474,3.898262028,6.898262028
test,42,Bar Chart,42.96491798,50,7.03508202,2.839976114,5.839976114
Kai,59,Bar Chart,64.25539478,80,15.74460522,3.988194334,6.988194334
lalala,4,Bar Chart,56.40468616,70,13.59531384,3.778241577,6.778241577
YUCHEN,56,Bar Chart,28.3757498,30,1.6242502,0.806736657,3.806736657
lalala,49,Bar Chart,58.82613371,65,6.17386629,2.655092187,5.655092187
Anna,51,Bar Chart,31.83482979,43,11.16517021,3.496995331,6.496995331
YUCHEN,30,Bar Chart,12.53797994,23,10.46202006,3.404224664,6.404224664
test,57,Bar Chart,9.987246717,15,5.012753283,2.361137613,5.361137613
YUCHEN,52,Bar Chart,44.25960377,54,9.74039623,3.302376996,6.302376996
YUCHEN,6,Bar Chart,74.49797965,65,9.49797965,3.266483678,6.266483678
YUCHEN,55,Bar Chart,68.69555104,78,9.30444896,3.237173465,6.237173465
hh,48,Bar Chart,60.84745341,70,9.15254659,3.213743341,6.213743341
Alina,9,Bar Chart,74.48118131,66,8.48118131,3.105373234,6.105373234
YUCHEN,48,Bar Chart,14.58016117,23,8.41983883,3.095053281,6.095053281
Kai,20,Bar Chart,78.39984606,70,8.39984606,3.091673782,6.091673782
Jason,49,Bar Chart,65.68730389,74,8.31269611,3.076849129,6.076849129
Jason,11,Bar Chart,1.904998599,10,8.095001401,3.03913864,6.03913864
Anna,14,Bar Chart,86.88692622,79,7.88692622,3.002149136,6.002149136
Kai,56,Bar Chart,72.19693382,80,7.80306618,2.986969006,5.986969006
hh,17,Bar Chart,32.26554783,40,7.73445217,2.974428755,5.974428755
YUCHEN,46,Bar Chart,92.70924839,85,7.70924839,2.969794871,5.969794871
test,30,Bar Chart,12.54494072,20,7.45505928,2.922209131,5.922209131
Kai,58,Bar Chart,82.76930853,90,7.23069147,2.878860968,5.878860968
YUCHEN,11,Bar Chart,11.22788094,18,6.77211906,2.785993871,5.785993871
test,19,Bar Chart,46.62436637,40,6.62436637,2.754752068,5.754752068
Jason,52,Bar Chart,53.50766124,60,6.49233876,2.726251137,5.726251137
test,14,Bar Chart,36.33973414,30,6.33973414,2.692591041,5.692591041
Alina,28,Bar Chart,43.66392149,50,6.33607851,2.691775006,5.691775006
hh,14,Bar Chart,96.24776702,90,6.24776702,2.671919919,5.671919919
Alina,11,Bar Chart,31.80934147,38,6.19065853,2.658933171,5.658933171
Anna,43,Bar Chart,86.09635442,80,6.09635442,2.637228696,5.637228696
Jason,45,Bar Chart,29.96527805,36,6.03472195,2.622865229,5.622865229
hh,55,Bar Chart,29.10750825,35,5.89249175,2.589162259,5.589162259
Alina,52,Bar Chart,79.26541039,85,5.73458961,2.550799626,5.550799626
YUCHEN,57,Bar Chart,29.3125221,35,5.6874779,2.539153326,5.539153326
Jason,46,Bar Chart,54.36311097,60,5.63688903,2.526541875,5.526541875
hh,56,Bar Chart,85.56532406,80,5.56532406,2.508510815,5.508510815
Anna,17,Bar Chart,11.56320129,17,5.43679871,2.475551532,5.475551532
Anna,9,Bar Chart,50.60481896,56,5.39518104,2.464715582,5.464715582
Kai,27,Bar Chart,14.94375206,20,5.05624794,2.373299623,5.373299623
lalala,45,Bar Chart,54.95946194,60,5.04053806,2.368918633,5.368918633
test,45,Bar Chart,64.96136095,60,4.96136095,2.346633845,5.346633845
